TERMO;DEFINICAO
FICHA DE TRABALHO DO AUTÔNOMO;ficha de controle do tempo de direção e do intervalo de descanso do motorista profissional autônomo, que deverá sempre acompanhá-lo no exercício de sua profissão. (MBFT - Manual Brasileiro de Fiscalização de Trânsito).
FISCALIZAÇÃO;ato de controlar o cumprimento das normas estabelecidas na legislação de trânsito, por meio do poder de polícia administrativa de trânsito, no âmbito de circunscrição dos órgãos e entidades executivos de trânsito e de acordo com as competências definidas no CTB (Anexo I do CTB).
FOCO DE PEDESTRES;indicação luminosa de permissão ou impedimento de locomoção na faixa apropriada (Anexo I do CTB).
FOLGUEDO;folia, festa, divertimento (Mini Aurélio, 6ª Edição, 2005).
FORÇA MAIOR;"são os fatos humanos ou naturais, que podem até ser previstos, mas não podem ser evitados ou impedidos, pela autoridade com circunscrição sobre a via, tais como fenômenos da natureza, tais como inundações, deslizamentos de terra, quedas de barreira, desmoronamentos, etc; e osfatos humanos, como guerras, revoluções, manifestações, interrupções na via, pontes, viadutos, desmoronamentos, acidentes, obras, reformas e reparos, entre outros. (MBFT - Manual Brasileiro de Fiscalização de Trânsito)."
FORÇAR PASSAGEM;veículo que ao realizar ou tentar realizar ultrapassagem, mesmo em local permitido, força a passagem entre veículos que estejam circulando em sentidos opostos e próximos a passar um pelo outro, gerando situação de risco (saída de qualquer dos veículos para o acostamento, para outra faixa, diminuição de velocidade, entre outras situações).(MBFT - Manual Brasileiro de Fiscalização de Trânsito).
FREIO DE ESTACIONAMENTO;dispositivo destinado a manter o veículo imóvel na ausência do condutor ou, no caso de um reboque, se este se encontra desengatado (Anexo I do CTB).
FREIO DE SEGURANÇA OU MOTOR;dispositivo destinado a diminuir a marcha do veículo no caso de falha do freio de serviço (Anexo I do CTB).
FREIO DE SERVIÇO;dispositivo destinado a provocar a diminuição da marcha do veículo ou pará-lo (Anexo I do CTB).
GESTOS DE AGENTES;movimentos convencionais de braço, adotados exclusivamente pelos agentes de autoridades de trânsito nas vias, para orientar, indicar o direito de passagem dos veículos ou pedestres ou emitir ordens, sobrepondo-se ou completando outra sinalização ou norma constante do CTB (Anexo I do CTB).
GESTOS DE CONDUTORES;movimentos convencionais de braço, adotados exclusivamente pelos condutores, para orientar ou indicar que vão efetuar uma manobra de mudança de direção, redução brusca de velocidade ou parada (Anexo I do CTB).
GRAMADO;é o logradouro público, coberto predominantemente por grama com a finalidade paisagística e/ou ornamental.Considerar gramado e jardim público, mesmo que apresentem apenas vestígios de vegetação e terra batida. (MBFT - Manual Brasileiro de Fiscalização de Trânsito).
ILHA;obstáculo físico, colocado na pista de rolamento, destinado à ordenação dos fluxos de trânsito em uma interseção (Anexo I do CTB).
IMOBILIZAÇÃO;interrupção de marcha do veículo para atender circunstância momentânea do trânsito (MBFT - Manual Brasileiro de Fiscalização de Trânsito).
IMOBILIZAÇÃO TEMPORÁRIA;interrupção de marcha do veículo para atender circunstância momentânea do trânsito, não se confundindo com estacionamento ou parada. (MBFT - Manual Brasileiro de Fiscalização de Trânsito).
INFRAÇÃO;inobservância a qualquer preceito da legislação de trânsito, às normas emanadas do Código de Trânsito, do Conselho Nacional de Trânsito e a regulamentação estabelecida pelo órgão ou entidade executiva do trânsito (Anexo I do CTB).
INSTALAÇÕES;equipamentos apostos na via, compreendendo bancos, lixeiras, estrutura para paradade ônibus, placas, semáforos, tachas, tachinhas, tachões, etc. (MBFT - Manual Brasileiro de Fiscalização de Trânsito).
INTERROMPER DELIBERADAMENTE A CIRCULAÇÃO NA VIA;obstrução deliberada e total da circulação de veículos na via. (MBFT - Manual Brasileiro de Fiscalização de Trânsito).
INTERRUPÇÃO DE MARCHA;imobilização do veículo para atender circunstância momentânea do trânsito (MBFT - Manual Brasileiro de Fiscalização de Trânsito).
INTERSEÇÃO;todo cruzamento em nível, entroncamento ou bifurcação, incluindo as áreas formadas por tais cruzamentos, entroncamentos ou bifurcações (Anexo I do CTB).
INTERVALO DE DESCANSO;período de tempo em que o condutor estiver efetivamente cumprindo o descanso, comprovado por meio dos documentos previstos na regulamentação do Contran, não computadas as interrupções involuntárias, tais como as decorrentes de engarrafamentos, semáforo e sinalização de trânsito. (MBFT - Manual Brasileiro de Fiscalização de Trânsito).
JARDIM PÚBLICO;é o logradouro público para a exibição, cultivação e apreciação de plantas, flores ou outras formas da natureza com a finalidade paisagística e/ou ornamental. Considerar gramado e jardim público, mesmo que apresentem apenas vestígios de vegetação e terra batida. (MBFT - Manual Brasileiro de Fiscalização de Trânsito).
LANÇAR;arremessar, atirar, jogar, projetar, impulsionar, estender, impelir, desprender, irradiar, ejetar. (MBFT - Manual Brasileiro de Fiscalização de Trânsito).
LANTERNA DE ADVERTÊNCIA;( pisca-alerta) - operação simultânea de todas as lanternas
LANTERNA DE FREIO;lanterna de freio: dispositivo de sinalização utilizado para indicar a quem estiver transitando atrás do veículo que o mesmo está sendo freado ou está parado. (Resolução 970/2022).
LANTERNA DE ILUMINAÇÃO DE PLACA DE IDENTIFICAÇÃO DO VEÍCULO;dispositivo de iluminação utilizado para iluminar a placa de identificação do veículo. (Resolução 970/2022). LANTERNA DE	NEBLINA TRASEIRA -	dispositivo	de	sinalização	utilizado	para	melhorar	a visibilidade do veículo para os demais condutores, quando visto pela traseira, em caso de neblina, nevoeiro, fumaça, chuva forte ou nuvem de poeira. (Resolução 970/2022).
LANTERNA DE POSIÇÃO DIANTEIRA;dispositivo de sinalização utilizado para indicar a presença do veículo, quando visto pela dianteira. (Resolução 970/2022).
LANTERNA DE POSIÇÃO TRASEIRA;dispositivo de sinalização utilizado para indicar a presença do veículo, quando visto pela traseira. (Resolução 970/2022).
LANTERNA INDICADORA DE DIREÇÃO;dispositivos de sinalização utilizados para indicar aos LANTERNAS ESPECIAIS DE EMERGÊNCIA - lanternas especiais de emergência: dispositivos luminosos, removíveis ou não, compostos por luzes rotativas ou intermitentes de cor vermelha, azul, ou combinação de ambas, utilizados por veículos de emergência. (Resolução 970/2022).
LANTERNAS ESPECIAIS PARA PRESTAÇÃO DE SERVIÇOS;dispositivos luminosos não removíveis, compostos por luzes rotativas ou intermitentes de cor amarelo-âmbar, utilizados em veículos prestadores de serviços de utilidade pública. (Resolução 970/2022).
LICENÇA;é a autorização do poder concedente para efetuar a atividade remunerada e seu devido registro no órgão executivo de trânsito (MBFT - Manual Brasileiro de Fiscalização de Trânsito).
LICENCIAMENTO;procedimento anual, relativo a obrigações do proprietário de veículo, comprovado por meio de documento específico - Certificado de Licenciamento Anual (MBFT - Manual Brasileiro de Fiscalização de Trânsito).
LOGRADOURO PÚBLICO;espaço livre destinado pela municipalidade à circulação, parada ou estacionamento de veículos, ou à circulação de pedestres, tais como calçada, parques, áreas de lazer, calçadões (Anexo I do CTB).
LOTAÇÃO;carga útil máxima, incluindo condutor e passageiros, que o veículo transporta, expressa em quilogramas para os veículos de carga, ou número de pessoas, para os veículos de passageiros (MBFT - Manual Brasileiro de Fiscalização de Trânsito).
LOTE LINDEIRO;aquele situado ao longo das vias urbanas ou rurais e que com elas se limita (Anexo I do CTB).
LUZ ALTA;facho de luz do veículo destinado a iluminar a via até uma grande distância do veículo (Anexo I do CTB).
LUZ BAIXA;facho de luz do veículo destinada a iluminar a via diante do veículo, sem ocasionar ofuscamento ou incômodo injustificáveis aos condutores e outros usuários da via que venham em sentido contrário (Anexo I do CTB).
LUZ DE FREIO;luz do veículo destinada a indicar aos demais usuários da via, que se encontram atrás do veículo, que o condutor está aplicando o freio de serviço (Anexo I do CTB).
LUZ DE MARCHA À RÉ;luz do veículo destinada a iluminar atrás do veículo e advertir aos demais usuários da via que o veículo está efetuando ou a ponto de efetuar uma manobra de marcha à ré (Anexo I do CTB).
LUZ DE NEBLINA;luz do veículo destinada a aumentar a iluminação da via em caso de neblina, chuva forte ou nuvens de pó (Anexo I do CTB). LUZ DE POSIÇÃO (lanterna) - luz do veículo destinada a indicar a presença e a largura do veículo (Anexo I do CTB). LUZ INDICADORA DE DIREÇÃO (pisca-pisca) - luz do veículo destinada a indicar aos demais usuários da via que o condutor tem o propósito de mudar de direção para a direita ou para a esquerda (Anexo I do CTB).
LUZES ESTROBOSCÓPICAS;dispositivos de sinalização complementares às lanternas especiais de emergência e prestação de serviços, compostos por fontes luminosas que emitem pulsos em intervalos regulares, na forma de flashes de alta intensidade, destinados a melhorar a visibilidade dos respectivos veículos em situações em que isso seja necessário. (Resolução 970/2022). MALABARISMO: caracteriza-se pela execução de movimentos difíceis, que necessitam de equilíbrio e destreza na condução do veículo. (MBFT - Manual Brasileiro de Fiscalização de Trânsito).
MANOBRA;movimento executado pelo condutor para alterar a posição em que o veículo está no momento em relação à via (Anexo I do CTB).
MANUSEAR;o telefone celular: interagir com quaisquer das funções do aparelho por meio da tela ou de tecla. (MBFT - Manual Brasileiro de Fiscalização de Trânsito).
MARCAÇÃO DE CICLOFAIXA;ao longo da via (MCI) é constituída por uma linha contínua nas cores branca, nos bordos da ciclofaixa e vermelha, para contraste (MBFT - Manual Brasileiro de Fiscalização de Trânsito).
MARCAÇÃO DE FAIXA REVERSÍVEL NO CONTRA;FLUXO (MFR) - na cor amarela, delimita a faixa que pode ter seu sentido de circulação invertido temporariamente, em função da demanda do fluxo de veículos. (MBFT - Manual Brasileiro de Fiscalização de Trânsito).
MARCAS DE CANALIZAÇÃO;"orientam os fluxos de tráfego em uma via, direcionando a circulação de veículos; regulamentam as áreas de pavimento não utilizáveis (MBFT - Manual Brasileiro de Fiscalização de Trânsito)."
MARCAS VIÁRIAS;conjunto de sinais constituídos de linhas, marcações, símbolos ou legendas, em tipos e cores diversas, apostos ao pavimento da via (Anexo I do CTB).
MARCO DO PONTO;elemento definido pelo poder concedente que indica o local de parada para embarque e/ou desembarque de passageiros do transporte coletivo público, O marco do ponto deve estar
MICROÔNIBUS;veículo automotor de transporte coletivo com capacidade para até vinte passageiros (Anexo I do CTB).
MINI;ROTATÓRIA - equipara-se a ilha (MBFT - Manual Brasileiro de Fiscalização de Trânsito). MOTOCICLETA - veículo automotor de duas rodas, com ou sem side-car, dirigido por condutor em posição montada (Anexo I do CTB).
MOTONETA;veículo automotor de duas rodas, dirigido por condutor em posição sentada (Anexo I do CTB).
MOTOR;CASA (MOTOR-HOME) - veículo automotor cuja carroçaria seja fechada e destinada a alojamento, escritório, comércio ou finalidades análogas (Anexo I do CTB).
MOTORISTA PROFISSIONAL;condutor que exerce atividade remunerada ao veículo (MBFT - Manual Brasileiro de Fiscalização de Trânsito).
NOITE;período do dia compreendido entre o pôr-do-sol e o nascer do sol (Anexo I do CTB). ÓCULOS DE PROTEÇÃO MOTOCICLÍSTICA - são óculos que permitem aos usuários a utilização simultânea de óculos corretivos ou de sol (MBFT - Manual Brasileiro de Fiscalização de Trânsito).
ÔNIBUS;veículo automotor de transporte coletivo com capacidade para mais de vinte passageiros, ainda que, em virtude de adaptações com vista à maior comodidade destes, transporte número menor (Anexo I do CTB).
OPACÍMETRO;instrumento utilizado para a medição da opacidade e determinação do coeficiente de absorção de luz da fumaça emitida por motores de ignição por compressão (motores do ciclo diesel) (Portaria INMETRO 060/08).
OPERAÇÃO DE CARGA E DESCARGA;imobilização do veículo, pelo tempo estritamente necessário ao carregamento ou descarregamento de animais ou carga, na forma disciplinada pelo órgão ou entidade executivo de trânsito competente com circunscrição sobre a via (Anexo I do CTB). OPERAÇÃO DE TRÂNSITO - monitoramento técnico baseado nos conceitos de Engenharia de Tráfego, das condições de fluidez, de estacionamento e parada na via, de forma a reduzir as interferências tais como veículos quebrados, acidentados, estacionados irregularmente atrapalhando o trânsito, prestando socorros imediatos e informações aos pedestres e condutores (Anexo I do CTB). PARADA - imobilização do veículo com a finalidade e pelo tempo estritamente necessário para efetuar embarque ou desembarque de passageiros (Anexo I do CTB).
PASSAGEM DE NÍVEL;todo cruzamento de nível entre uma via e uma linha férrea ou trilho de bonde com pista própria (Anexo I do CTB).
